chemical_name,e_number,category,purpose,risk_level,health_concerns,safe_limit,aliases
Hydrolyzed Vegetable Protein,INS 635,Flavor Enhancer,Natural flavor enhancer,Low,Contains glutamates,Check labels,"E635,HVP,Hydrolyzed Vegetable Protein"
Hydrolyzed Protein,INS 635,Flavor Enhancer,Natural flavor enhancer,Low,Contains glutamates,Check labels,"E635,Hydrolyzed Protein"
Autolyzed Yeast Extract,INS 700,Flavor Enhancer,Natural flavor,Low,Contains glutamates,Check labels,"E700,Autolyzed Yeast Extract"
Sodium Caseinate,INS 469,Emulsifier,Milk protein,Minimal,Generally safe,Within limits,"E469,Sodium Caseinate"
Calcium Caseinate,INS 469,Emulsifier,Milk protein,Minimal,Generally safe,Within limits,"E469,Calcium Caseinate"
Whey Protein Concentrate,INS 1200,Protein,Protein supplement,Minimal,Generally safe,Within limits,"E1200,Whey Protein Concentrate"
Whey Protein Isolate,INS 1200,Protein,Protein supplement,Minimal,Generally safe,Within limits,"E1200,Whey Protein Isolate"
Soy Protein Isolate,INS 1200,Protein,Protein supplement,Minimal,Generally safe,Within limits,"E1200,Soy Protein Isolate"
Pea Protein,INS 1200,Protein,Protein supplement,Minimal,Generally safe,Within limits,"E1200,Pea Protein"
Wheat Gluten,INS 1200,Protein,Protein supplement,Minimal,Generally safe,Within limits,"E1200,Wheat Gluten"
Collagen Protein,INS 1200,Protein,Gelatin source,Minimal,Generally safe,Within limits,"E1200,Collagen Protein"
Methylparaben,INS 218,Preservative,Antimicrobial,Low,Endocrine disruption concerns,Limited,"E218,Methylparaben"
Ethylparaben,INS 214,Preservative,Antimicrobial,Low,Endocrine concerns,Limited,"E214,Ethylparaben"
Propylparaben,INS 216,Preservative,Antimicrobial,Low,Endocrine concerns,Limited,"E216,Propylparaben"
Butylparaben,INS 209,Preservative,Antimicrobial,Moderate,Endocrine concerns,Not recommended,"E209,Butylparaben"
Sodium Methylparaben,INS 219,Preservative,Antimicrobial,Low,Endocrine concerns,Limited,"E219,Sodium Methylparaben"
Sodium Ethylparaben,INS 215,Preservative,Antimicrobial,Low,Endocrine concerns,Limited,"E215,Sodium Ethylparaben"
Sodium Propylparaben,INS 217,Preservative,Antimicrobial,Low,Endocrine concerns,Limited,"E217,Sodium Propylparaben"
Sorbic Acid,INS 200,Preservative,Mold inhibitor,Minimal,Generally safe,Within limits,"E200,Sorbic Acid"
Sodium Sorbate,INS 201,Preservative,Mold inhibitor,Minimal,Generally safe,Within limits,"E201,Sodium Sorbate"
Potassium Sorbate,INS 202,Preservative,Mold inhibitor,Minimal,Generally safe,Within limits,"E202,Potassium Sorbate"
Calcium Sorbate,INS 203,Preservative,Mold inhibitor,Minimal,Generally safe,Within limits,"E203,Calcium Sorbate"
Benzoic Acid,INS 210,Preservative,Antimicrobial,Low,Generally safe,Within limits,"E210,Benzoic Acid"
Sodium Benzoate,INS 211,Preservative,Antimicrobial,Low,Generally safe,Within limits,"E211,Sodium Benzoate"
Potassium Benzoate,INS 212,Preservative,Antimicrobial,Low,Generally safe,Within limits,"E212,Potassium Benzoate"
Calcium Benzoate,INS 213,Preservative,Antimicrobial,Low,Generally safe,Within limits,"E213,Calcium Benzoate"
Sulfur Dioxide,INS 220,Preservative,Antioxidant,Low,Asthma triggers,Limited,"E220,Sulfur Dioxide"
Sodium Sulfite,INS 221,Preservative,Antioxidant,Low,Allergic reactions,Limited,"E221,Sodium Sulfite"
Sodium Bisulfite,INS 222,Preservative,Antioxidant,Low,Allergic reactions,Limited,"E222,Sodium Bisulfite"
Sodium Metabisulfite,INS 223,Preservative,Antioxidant,Low,Allergic reactions,Limited,"E223,Sodium Metabisulfite"
Potassium Metabisulfite,INS 224,Preservative,Antioxidant,Low,Allergic reactions,Limited,"E224,Potassium Metabisulfite"
Calcium Sulfite,INS 226,Preservative,Antioxidant,Low,Allergic reactions,Limited,"E226,Calcium Sulfite"
Calcium Hydrogen Sulfite,INS 227,Preservative,Antioxidant,Low,Allergic reactions,Limited,"E227,Calcium Hydrogen Sulfite"
Formic Acid,INS 236,Preservative,Antimicrobial,Low,Generally safe,Within limits,"E236,Formic Acid"
Sodium Formate,INS 237,Preservative,Preservative,Low,Generally safe,Within limits,"E237,Sodium Formate"
Calcium Formate,INS 238,Preservative,Preservative,Low,Generally safe,Within limits,"E238,Calcium Formate"
Acetic Acid,INS 260,Preservative,Preservative,Minimal,Generally safe,Within limits,"E260,Acetic Acid"
Sodium Acetate,INS 262,Preservative,Preservative,Minimal,Generally safe,Within limits,"E262,Sodium Acetate"
Diacetate,INS 263,Preservative,Preservative,Minimal,Generally safe,Within limits,"E263,Diacetate,Calcium Acetate"
Calcium Acetate,INS 263,Preservative,Preservative,Minimal,Generally safe,Within limits,"E263,Calcium Acetate"
Propionic Acid,INS 280,Preservative,Mold inhibitor,Minimal,Generally safe,Within limits,"E280,Propionic Acid"
Sodium Propionate,INS 281,Preservative,Mold inhibitor,Minimal,Generally safe,Within limits,"E281,Sodium Propionate"
Calcium Propionate,INS 282,Preservative,Mold inhibitor,Minimal,Generally safe,Within limits,"E282,Calcium Propionate"
Potassium Propionate,INS 283,Preservative,Mold inhibitor,Minimal,Generally safe,Within limits,"E283,Potassium Propionate"
Nisin,INS 234,Preservative,Bacteriocin,Minimal,Generally safe,Within limits,"E234,Nisin"
Natamycin,INS 235,Preservative,Fungal inhibitor,Minimal,Generally safe,Within limits,"E235,Natamycin,Pimaricin"
Lysozyme,INS 1105,Preservative,Enzyme preservative,Minimal,Generally safe,Within limits,"E1105,Lysozyme"
Benzoyl Peroxide,INS 928,Bleaching Agent,Bleaching agent,Moderate,May generate carcinogens,Limited,"E928,Benzoyl Peroxide"
Sodium Chlorite,INS 249,Other,Bleaching agent,Moderate,Toxic if misused,Limited,"E249,Sodium Chlorite"
Chlorine,INS 925,Other,Bleaching agent,Moderate,Toxic if misused,Limited,"E925,Chlorine"
Chlorine Dioxide,INS 926,Other,Bleaching agent,Moderate,Respiratory irritation,Limited,"E926,Chlorine Dioxide"
Potassium Bromate,INS 924,Flour Treatment Agent,Dough conditioner,High,Potential carcinogen,Not recommended,"E924,Potassium Bromate"
Bromate,INS 924,Flour Treatment Agent,Dough conditioner,High,Potential carcinogen,Not recommended,"E924,Bromate"
Ammonium Persulfate,INS 923,Other,Flour treatment,Moderate,Respiratory irritant,Limited,"E923,Ammonium Persulfate"
Dicalcium Phosphate,INS 341,Leavening Agent,Leavening agent,Minimal,Generally safe,Within limits,"E341,Dicalcium Phosphate"
Tricalcium Phosphate,INS 341,Leavening Agent,Leavening agent,Minimal,Generally safe,Within limits,"E341,Tricalcium Phosphate"
Aluminum Phosphate,INS 541,Leavening Agent,Leavening agent,Moderate,Aluminum exposure,Limited,"E541,Aluminum Phosphate"
Sodium Aluminum Phosphate,INS 541,Leavening Agent,Leavening agent,Moderate,Aluminum exposure,Limited,"E541,Sodium Aluminum Phosphate"
Calcium Acid Phosphate,INS 341,Leavening Agent,Leavening agent,Minimal,Generally safe,Within limits,"E341,Calcium Acid Phosphate"
Aluminum Sulfate,INS 520,Other,Pickling agent,Moderate,Aluminum exposure,Limited,"E520,Aluminum Sulfate"
Aluminum Sodium Sulfate,INS 521,Other,Pickling agent,Moderate,Aluminum exposure,Limited,"E521,Aluminum Sodium Sulfate"
Aluminum Ammonium Sulfate,INS 523,Other,Pickling agent,Moderate,Aluminum exposure,Limited,"E523,Aluminum Ammonium Sulfate"
Aluminum Potassium Sulfate,INS 522,Other,Pickling agent,Moderate,Aluminum exposure,Limited,"E522,Aluminum Potassium Sulfate"
Alkanet,INS 103,Food Color,Natural red-purple food coloring,Low,"Generally safe, may cause mild stomach upset",ADI not specified,"E103,Alkanet Root,Bixin"
Quinoline Yellow,INS 104,Food Color,Synthetic yellow-green food coloring,Moderate,"May cause allergic reactions, hyperactivity in children",ADI 0-10 mg/kg,"E104,FD&C Yellow 10,CI 47005"
Riboflavin-5'-phosphate,INS 106,Food Color,Water-soluble yellow coloring,Minimal,Generally safe,ADI not specified,E106
Yellow 2G,INS 107,Food Color,Synthetic yellow food coloring,Moderate,May cause allergic reactions,ADI 0-5 mg/kg,"E107,CI 18965"
Orange Yellow S,INS 111,Food Color,Synthetic orange coloring,Moderate,May cause allergic reactions,ADI 0-4 mg/kg,E111
Citrin,INS 121,Food Color,Natural yellow coloring,Low,Generally safe,ADI not specified,E121
Ponceau SX,INS 125,Food Color,Synthetic red coloring,Moderate,May cause allergic reactions,ADI 0-1 mg/kg,E125
Vegetable Carbon,INS 153,Food Color,Natural black coloring,Minimal,Generally safe,ADI not specified,"E153,Charcoal,Carbon Black"
Xanthophylls,INS 161,Food Color,Yellow-orange natural coloring,Minimal,Generally safe,ADI not specified,"E161,Lutein,Zeaxanthin"
Aluminum,INS 173,Food Color,Silver metallic coloring,Moderate,Accumulation concerns,ADI 0-1 mg/kg,"E173,CI 77000"
Silver,INS 174,Food Color,Silver metallic coloring,Low,Generally safe in food amounts,ADI 0-0.5 mg/kg,"E174,CI 77820"
Gold,INS 175,Food Color,Gold metallic coloring,Low,Generally safe,ADI 0-0.5 mg/kg,"E175,CI 77480"
Rubine,INS 180,Food Color,Synthetic red coloring,Moderate,May cause allergic reactions,ADI 0-0.5 mg/kg,"E180,Lithol Rubine,CI 15850"
Potassium Sulfite,INS 225,Preservative,Preservative,Low,May cause allergic reactions,ADI 0-0.7 mg/kg,E225
Potassium Hydrogen Sulfite,INS 228,Preservative,Preservative,Low,May cause allergic reactions,ADI 0-0.7 mg/kg,"E228,Potassium Bisulfite"
Diphenyl,INS 230,Preservative,Fungicide for citrus,Moderate,"May cause headaches, nausea",ADI 0-0.05 mg/kg,"E230,Diphenyl"
Orthophenylphenol,INS 231,Preservative,Fungicide,Moderate,May cause irritation,ADI 0-0.2 mg/kg,"E231,OPP"
Sodium Orthophenylphenol,INS 232,Preservative,Fungicide,Moderate,May cause irritation,ADI 0-0.2 mg/kg,"E232,Sodium OPP"
Thiabendazole,INS 233,Preservative,Fungicide,Moderate,May cause nausea,ADI 0-0.1 mg/kg,"E233,TBZ"
Hexamethylenetetramine,INS 239,Preservative,Preservative,Moderate,May release formaldehyde,ADI 0-0.15 mg/kg,"E239,Hexamine"
Formaldehyde,INS 240,Preservative,Preservative,High,Known carcinogen,ADI not specified,E240
Dimethyl Dicarbonate,INS 242,Preservative,Beverage preservative,Low,May cause slight irritation,ADI 0-250 mg/kg,"E242,DMDC"
Potassium Acetates,INS 261,Preservative,"Preservative, acidity regulator",Minimal,Generally safe,ADI not specified,"E261,Potassium Acetate"
Boric Acid,INS 284,Preservative,Preservative,Moderate,Kidney damage with prolonged use,ADI 0-0.2 mg/kg,"E284,Boric Acid"
Sodium Tetraborate,INS 285,Preservative,Preservative,Moderate,May affect reproduction,ADI 0-0.1 mg/kg,"E285,Borax"
Sodium Diacetate,INS 286,Preservative,"Preservative, acidity regulator",Minimal,Generally safe,ADI not specified,"E286,Sodium Diacetate"
Carbon Dioxide,INS 290,Preservative,"Preservative, carbonation",Minimal,Generally safe,ADI not specified,"E290,CO2"
Potassium Ascorbate,INS 303,Antioxidant,Vitamin C source,Minimal,Generally safe,ADI not specified,E303
Ascorbyl Palmitate,INS 304,Antioxidant,Fat-soluble antioxidant,Minimal,Generally safe,ADI 0-2.5 mg/kg,"E304,Ascorbyl Palmitate"
Synthetic Gamma-Tocopherol,INS 308,Antioxidant,Vitamin E antioxidant,Minimal,Generally safe,ADI not specified,E308
Synthetic Delta-Tocopherol,INS 309,Antioxidant,Vitamin E antioxidant,Minimal,Generally safe,ADI not specified,E309
Propyl Gallate,INS 310,Antioxidant,Prevents oxidation,Moderate,May cause stomach irritation,ADI 0-0.5 mg/kg,"E310,Propyl Gallate"
Octyl Gallate,INS 311,Antioxidant,Antioxidant,Moderate,May cause allergic reactions,ADI 0-0.5 mg/kg,E311
Dodecyl Gallate,INS 312,Antioxidant,Antioxidant,Moderate,May cause allergic reactions,ADI 0-0.5 mg/kg,E312
Isoascorbic Acid,INS 315,Antioxidant,Antioxidant,Minimal,Generally safe,ADI not specified,"E315,Erythorbic Acid"
Isoascorbyl Stearate,INS 317,Antioxidant,Antioxidant,Low,Generally safe,ADI not specified,E317
Ascorbyl Stearate,INS 318,Antioxidant,Antioxidant,Minimal,Generally safe,ADI not specified,E318
Sodium Lactate,INS 325,Acidity Regulator,"Buffer, humectant",Minimal,Generally safe,ADI not specified,E325
Potassium Lactate,INS 326,Acidity Regulator,"Buffer, acidity regulator",Minimal,Generally safe,ADI not specified,E326
Calcium Lactate,INS 327,Acidity Regulator,"Calcium source, acidity regulator",Minimal,Generally safe,ADI not specified,E327
Ammonium Lactate,INS 328,Acidity Regulator,Buffer,Minimal,Generally safe,ADI not specified,E328
Magnesium Lactate,INS 329,Acidity Regulator,Magnesium source,Minimal,Generally safe,ADI not specified,E329
Ammonium Phosphates,INS 342,Acidity Regulator,Buffer,Low,Generally safe,ADI 0-70 mg/kg,E342
Magnesium Phosphates,INS 343,Acidity Regulator,Magnesium source,Minimal,Generally safe,ADI 0-70 mg/kg,"E343,Magnesium Phosphate"
Citric Acid Esters of Mono- and Diglycerides,INS 344,Emulsifier,Emulsifier,Minimal,Generally safe,ADI not specified,E344
Magnesium Citrate,INS 345,Acidity Regulator,Buffer,Minimal,Generally safe,ADI not specified,E345
Sodium Malates,INS 350,Acidity Regulator,"Buffer, flavor enhancer",Minimal,Generally safe,ADI not specified,"E350,Sodium Malate"
Potassium Malate,INS 351,Acidity Regulator,Buffer,Minimal,Generally safe,ADI not specified,E351
Calcium Malate,INS 352,Acidity Regulator,Calcium source,Minimal,Generally safe,ADI not specified,E352
Metatartaric Acid,INS 353,Acidity Regulator,Acidulant,Minimal,Generally safe,ADI not specified,E353
Adipic Acid,INS 355,Acidity Regulator,Acidulant,Low,May cause digestive issues,ADI 0-5 mg/kg,"E355,Adipic Acid"
Sodium Adipate,INS 356,Acidity Regulator,Buffer,Low,Generally safe,ADI 0-5 mg/kg,E356
Potassium Adipate,INS 357,Acidity Regulator,Buffer,Low,Generally safe,ADI 0-5 mg/kg,E357
Succinic Acid,INS 363,Acidity Regulator,"Acidulant, flavor",Minimal,Generally safe,ADI not specified,"E363,Succinic Acid"
Sodium Succinates,INS 364,Flavor Enhancer,Flavor enhancer,Minimal,Generally safe,ADI not specified,"E364,Sodium Succinate"
Ammonium Gluconate,INS 368,Acidity Regulator,Buffer,Minimal,Generally safe,ADI not specified,E368
Triammonium Citrate,INS 380,Acidity Regulator,Buffer,Minimal,Generally safe,ADI not specified,E380
Ammonium Ferric Citrate,INS 381,Food Color,"Iron supplement, green coloring",Low,May cause digestive issues,ADI 0-1.5 mg/kg,E381
Calcium Disodium EDTA,INS 385,Preservative,"Preservative, antioxidant",Low,Generally safe,ADI 0-2.5 mg/kg,"E385,EDTA"
Thiodipropionic Acid,INS 388,Antioxidant,Antioxidant,Low,Generally safe,ADI not specified,E388
Dilauryl Thiodipropionate,INS 389,Antioxidant,Antioxidant,Low,Generally safe,ADI not specified,E389
Distearyl Thiodipropionate,INS 390,Antioxidant,Antioxidant,Low,Generally safe,ADI not specified,E390
Stearyl Citrate,INS 399,Antioxidant,"Antioxidant, emulsifier",Minimal,Generally safe,ADI not specified,E399
Potassium Alginate,INS 402,Thickener,Thickener,Minimal,Generally safe,ADI not specified,E402
Tragacanth Gum,INS 413,Thickener,"Thickener, stabilizer",Minimal,Generally safe,ADI not specified,"E413,Tragacanth"
Gum Arabic,INS 414,Thickener,"Thickener, emulsifier",Minimal,Generally safe,ADI not specified,"E414,Gum Arabic"
Karaya Gum,INS 416,Thickener,Thickener,Minimal,Generally safe,ADI not specified,"E416,Karaya Gum"
Ammonium Phosphatides,INS 442,Emulsifier,Emulsifier,Minimal,Generally safe,ADI not specified,E442
Sucrose Acetate Isobutyrate,INS 444,Emulsifier,"Emulsifier, stabilizer",Low,Generally safe,ADI 0-10 mg/kg,"E444,SAIB"
Glycerol Esters of Wood Resins,INS 445,Emulsifier,Emulsifier,Low,Generally safe,ADI 0-12.5 mg/kg,E445
Triphosphates,INS 451,Emulsifier,"Buffer, sequestrant",Low,High phosphorus concerns,ADI 0-70 mg/kg,"E451,Triphosphate"
Polyphosphates,INS 452,Emulsifier,"Buffer, sequestrant",Low,High phosphorus concerns,ADI 0-70 mg/kg,"E452,Polyphosphate"
Salts of Fatty Acids,INS 470,Emulsifier,"Emulsifier, stabilizer",Minimal,Generally safe,ADI not specified,"E470,Sodium Stearoyl"
Sucrose Esters of Fatty Acids,INS 473,Emulsifier,Emulsifier,Minimal,Generally safe,ADI 0-30 mg/kg,"E473,Sucrose Esters"
Sucroglycerides,INS 474,Emulsifier,Emulsifier,Minimal,Generally safe,ADI 0-30 mg/kg,E474
Propylene Glycol Esters of Fatty Acids,INS 477,Emulsifier,Emulsifier,Minimal,Generally safe,ADI 0-25 mg/kg,E477
Lactylated Fatty Acid Esters of Glycerol and Propylene Glycol,INS 478,Emulsifier,Emulsifier,Minimal,Generally safe,ADI not specified,E478
Thermally Oxidized Soya Bean Oil,INS 479,Emulsifier,Emulsifier,Low,May cause digestive issues,ADI not specified,"E479,TOOT"
Stearyl Tartrate,INS 483,Emulsifier,Emulsifier,Minimal,Generally safe,ADI not specified,E483
Sorbitan Monooleate,INS 493,Emulsifier,Emulsifier,Minimal,Generally safe,ADI 0-25 mg/kg,"E493,Span 80"
Sorbitan Monolaurate,INS 495,Emulsifier,Emulsifier,Minimal,Generally safe,ADI 0-25 mg/kg,"E495,Span 20"
Potassium Carbonates,INS 501,Acidity Regulator,Acidity regulator,Minimal,Generally safe,ADI not specified,"E501,Potassium Carbonate"
Magnesium Carbonates,INS 504,Acidity Regulator,"Acidity regulator, antacid",Minimal,Generally safe,ADI not specified,"E504,Magnesium Carbonate"
Hydrochloric Acid,INS 507,Acidity Regulator,Acidulant,Low,May cause irritation,ADI not specified,E507
Sodium Sulfates,INS 514,Acidity Regulator,Acidity regulator,Low,May cause diarrhea,ADI 0-70 mg/kg,"E514,Sodium Sulfate"
Potassium Sulfates,INS 515,Acidity Regulator,Acidity regulator,Low,Generally safe,ADI 0-70 mg/kg,E515
Calcium Sulfate,INS 516,Acidity Regulator,"Calcium source, firming agent",Minimal,Generally safe,ADI not specified,"E516,Calcium Sulfate"
Ammonium Sulfate,INS 517,Acidity Regulator,"Nutrient, dough improver",Low,May cause nausea,ADI 0-30 mg/kg,E517
Magnesium Sulfate,INS 518,Acidity Regulator,"Nutrient, flavor enhancer",Minimal,Generally safe,ADI not specified,"E518,Epsom Salt"
Cupric Sulfate,INS 519,Nutrient,Copper supplement,Moderate,Toxic in high amounts,ADI 0-0.5 mg/kg,"E519,Copper Sulfate"
Sodium Hydroxide,INS 524,Acidity Regulator,pH adjustment,Low,"Caustic, handle with care",ADI not specified,"E524,Sodium Hydroxide"
Potassium Hydroxide,INS 525,Acidity Regulator,pH adjustment,Low,"Caustic, handle with care",ADI not specified,E525
Calcium Hydroxide,INS 526,Acidity Regulator,"pH adjustment, calcium source",Minimal,Generally safe,ADI not specified,"E526,Calcium Hydroxide"
Ammonium Hydroxide,INS 527,Acidity Regulator,pH adjustment,Low,May cause irritation,ADI not specified,E527
Magnesium Hydroxide,INS 528,Acidity Regulator,"pH adjustment, antacid",Minimal,Generally safe,ADI not specified,"E528,Milk of Magnesia"
Calcium Oxide,INS 529,Acidity Regulator,pH adjustment,Low,Caustic when not hydrated,ADI not specified,"E529,Quicklime"
Iron Oxide,INS 530,Food Color,Coloring,Low,Generally safe,ADI 0-0.5 mg/kg,"E530,Iron Oxide"
Sodium Ferrocyanide,INS 535,Anti-caking Agent,Anti-caking agent,Low,Generally safe,ADI 0-0.25 mg/kg,E535
Potassium Ferrocyanide,INS 536,Anti-caking Agent,Anti-caking agent,Low,Generally safe,ADI 0-0.25 mg/kg,E536
Silicon Dioxide,INS 550,Anti-caking Agent,Anti-caking agent,Minimal,Generally safe,ADI 0-50 mg/kg,"E550,Silica"
Bentonite,INS 558,Anti-caking Agent,Anti-caking agent,Minimal,Generally safe,ADI not specified,"E558,Bentonite"
Aluminium Silicate,INS 559,Anti-caking Agent,Anti-caking agent,Low,Aluminum concerns,ADI 0-70 mg/kg,"E559,Kaolin"
Magnesium Stearate,INS 572,Emulsifier,Emulsifier,Minimal,Generally safe,ADI not specified,"E572,Magnesium Stearate"
Ferrous Lactate,INS 585,Nutrient,Iron supplement,Low,May cause digestive issues,ADI 0-0.8 mg/kg,E585
Glutamic Acid,INS 620,Flavor Enhancer,Flavor enhancer,Moderate,May cause MSG symptom complex,ADI 0-120 mg/kg,"E620,Glutamic Acid"
Magnesium Glutamate,INS 624,Flavor Enhancer,Flavor enhancer,Moderate,May cause reactions,ADI 0-120 mg/kg,E624
Magnesium Chloride,INS 625,Flavor Enhancer,Flavor enhancer,Minimal,Generally safe,ADI not specified,E625
Guanylic Acid,INS 626,Flavor Enhancer,Flavor enhancer,Minimal,Generally safe,ADI 0-2 mg/kg,"E626,Guanylate"
Dipotassium Guanylate,INS 628,Flavor Enhancer,Flavor enhancer,Minimal,Generally safe,ADI 0-2 mg/kg,E628
Inosinic Acid,INS 629,Flavor Enhancer,Flavor enhancer,Minimal,Generally safe,ADI 0-2 mg/kg,"E629,Inosinate"
Disodium Inosinate,INS 630,Flavor Enhancer,Flavor enhancer,Minimal,Generally safe,ADI 0-2 mg/kg,E630
Calcium Ribonucleotides,INS 632,Flavor Enhancer,Flavor enhancer,Minimal,Generally safe,ADI 0-2 mg/kg,E632
Maltol,INS 633,Flavor Enhancer,Flavor enhancer,Minimal,Generally safe,ADI 0-1 mg/kg,"E633,Maltol"
Vanillin,INS 638,Flavor Enhancer,Flavoring,Minimal,Generally safe,ADI 0-10 mg/kg,"E638,Vanillin"
L-Phenylalanine,INS 639,Flavor Enhancer,Flavor enhancer,Low,PKU patients avoid,ADI not specified,E639
Glycine,INS 640,Flavor Enhancer,Flavor enhancer,Minimal,Generally safe,ADI not specified,"E640,Glycine"
L-Leucine,INS 641,Flavor Enhancer,Flavor enhancer,Minimal,Generally safe,ADI not specified,E641
Zinc Gluconate,INS 650,Nutrient,Zinc supplement,Low,May cause nausea,ADI 0-1 mg/kg,E650
Tiamulin,INS 701,Antibiotic,Veterinary antibiotic,High,Antibiotic resistance,Very limited,"E701,Tiamulin"
Tylosin,INS 702,Antibiotic,Veterinary antibiotic,High,Antibiotic resistance,Very limited,"E702,Tylosin"
Spiramycin,INS 703,Antibiotic,Veterinary antibiotic,High,Antibiotic resistance,Very limited,"E703,Spiramycin"
Oleandomycin,INS 704,Antibiotic,Veterinary antibiotic,High,Antibiotic resistance,Very limited,"E704,Oleandomycin"
Avilamycin,INS 705,Antibiotic,Coccidiostat,High,Antibiotic resistance,Very limited,"E705,Avilamycin"
Colistin,INS 706,Antibiotic,Veterinary antibiotic,High,Last-resort antibiotic,Very limited,"E706,Colistin"
Neomycin,INS 707,Antibiotic,Veterinary antibiotic,High,Antibiotic resistance,Very limited,"E707,Neomycin"
Tetracycline,INS 708,Antibiotic,Veterinary antibiotic,High,Antibiotic resistance,Very limited,"E708,Tetracycline"
Chlortetracycline,INS 709,Antibiotic,Antibiotic,High,Antibiotic resistance,Very limited,"E709,CTC"
Oxytetracycline,INS 710,Antibiotic,Antibiotic,High,Antibiotic resistance,Very limited,"E710,OTC"
Spiramycin,INS 711,Antibiotic,Antibiotic,High,Antibiotic resistance,Very limited,E711
Lincomycin,INS 712,Antibiotic,Antibiotic,High,Antibiotic resistance,Very limited,"E712,Lincomycin"
Beeswax,INS 901,Glazing Agent,Glazing agent,Minimal,Generally safe,ADI not specified,"E901,Beeswax"
Candelilla Wax,INS 902,Glazing Agent,Glazing agent,Minimal,Generally safe,ADI not specified,"E902,Candelilla Wax"
Alitame,INS 956,Sweetener,High-intensity sweetener,Low,Generally safe,ADI 0-1 mg/kg,"E956,Alitame"
Glycyrrhizin,INS 958,Sweetener,Natural sweetener,Low,May raise blood pressure,ADI 0-2 mg/kg,"E958,Glycyrrhizin"
Erythritol,INS 968,Sweetener,Zero-calorie sweetener,Minimal,May cause digestive issues,ADI 0-60 mg/kg,"E968,Erythritol"
Choline Salts,INS 1001,Nutrient,Nutrient supplement,Minimal,Generally safe,ADI not specified,"E1001,Choline"
Caffeine,INS 1002,Stimulant,Stimulant,Moderate,"May cause anxiety, insomnia",ADI 0-3 mg/kg,"E1002,Caffeine"
Taurine,INS 1003,Nutrient,Amino acid supplement,Low,Limited data on safety,ADI not specified,"E1003,Taurine"
Inositol,INS 1004,Nutrient,Vitamin-like nutrient,Minimal,Generally safe,ADI not specified,"E1004,Inositol"
L-Carnitine,INS 1005,Nutrient,Nutrient supplement,Minimal,Generally safe,ADI not specified,"E1005,Carnitine"
Glucosamine,INS 1006,Nutrient,Nutrient supplement,Minimal,Generally safe,ADI not specified,"E1006,Glucosamine"
Chondroitin,INS 1007,Nutrient,Nutrient supplement,Minimal,Generally safe,ADI not specified,"E1007,Chondroitin"
Coenzyme Q10,INS 1008,Nutrient,Antioxidant supplement,Minimal,Generally safe,ADI not specified,"E1008,CoQ10"
Alpha Lipoic Acid,INS 1009,Nutrient,Antioxidant supplement,Low,May interact with medications,ADI not specified,"E1009,ALA"
L-Glutathione,INS 1010,Nutrient,Antioxidant supplement,Minimal,Generally safe,ADI not specified,"E1010,Glutathione"
L-Cysteine,INS 1011,Flavor Enhancer,Flavor enhancer,Minimal,Generally safe,ADI not specified,"E1011,Cysteine"
Betaine,INS 1012,Nutrient,Nutrient supplement,Minimal,Generally safe,ADI not specified,"E1012,Betaine"
S-Adenosyl Methionine,INS 1013,Nutrient,Nutrient supplement,Minimal,Generally safe,ADI not specified,"E1013,SAMe"
Creatine,INS 1014,Nutrient,Sports nutrition supplement,Low,Kidney concerns with overuse,ADI not specified,"E1014,Creatine"
L-Arginine,INS 1015,Nutrient,Amino acid supplement,Minimal,Generally safe,ADI not specified,"E1015,Arginine"
L-Ornithine,INS 1016,Nutrient,Amino acid supplement,Minimal,Generally safe,ADI not specified,"E1016,Ornithine"
L-Lysine,INS 1017,Nutrient,Amino acid supplement,Minimal,Generally safe,ADI not specified,"E1017,Lysine"
L-Methionine,INS 1018,Nutrient,Amino acid supplement,Minimal,Generally safe,ADI not specified,"E1018,Methionine"
L-Threonine,INS 1019,Nutrient,Amino acid supplement,Minimal,Generally safe,ADI not specified,"E1019,Threonine"
L-Tryptophan,INS 1020,Nutrient,Amino acid supplement,Low,"Serotonin precursor, use caution",ADI not specified,"E1020,Tryptophan"
L-Histidine,INS 1021,Nutrient,Amino acid supplement,Minimal,Generally safe,ADI not specified,"E1021,Histidine"
L-Isoleucine,INS 1022,Nutrient,Amino acid supplement,Minimal,Generally safe,ADI not specified,"E1022,Isoleucine"
L-Valine,INS 1023,Nutrient,Amino acid supplement,Minimal,Generally safe,ADI not specified,"E1023,Valine"
Amylase,INS 1100,Enzyme,Enzyme preparation,Minimal,Generally safe,ADI not specified,"E1100,Amylase"
Protease,INS 1101,Enzyme,Enzyme preparation,Minimal,Generally safe,ADI not specified,"E1101,Protease"
Glucose Oxidase,INS 1102,Enzyme,Enzyme preparation,Minimal,Generally safe,ADI not specified,"E1102,Glucose Oxidase"
Invertase,INS 1103,Enzyme,Enzyme preparation,Minimal,Generally safe,ADI not specified,"E1103,Invertase"
Lipase,INS 1104,Enzyme,Enzyme preparation,Minimal,Generally safe,ADI not specified,"E1104,Lipase"
Bromelain,INS 1106,Enzyme,Enzyme preparation,Minimal,Generally safe,ADI not specified,"E1106,Bromelain"
Ficin,INS 1107,Enzyme,Enzyme preparation,Minimal,Generally safe,ADI not specified,"E1107,Ficin"
Beta-Galactosidase,INS 1108,Enzyme,Enzyme preparation,Minimal,Generally safe,ADI not specified,E1108
